synthetic_id,circuits,communities,customers_out,cause,cause_detail,crew_status,start_utc,etr_utc,n_out,centroid_lat,centroid_lng,geom_point_encoded,geom_polygon_encoded,inc_id_raw,positional_id_raw,tile_quadkey,deployment_guid,retrieved_utc
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,12,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.8741,-117.21035,cvsgEtskjU,,,7-1,0230132,9471f954-edd6-4c54-baac-5753eabf5e68,2026-08-15T04:46:19Z
851|2026-08-15T03:57:39Z,851,S Vista,586,Undetermined,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T09:30:00Z,1,33.16399,-117.2268,}iliEnznjU,w~kiEz|ojUuBSqUgh@xB_SxEz@dLnKd@zEf@~M?rX,,7-0,0230132,ffe760c3-32ab-4b90-98c3-14960466fcc8,2026-08-15T05:01:18Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,12,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.8741,-117.21035,cvsgEtskjU,,,7-1,0230132,ffe760c3-32ab-4b90-98c3-14960466fcc8,2026-08-15T05:01:18Z
851|2026-08-15T03:57:39Z,851,S Vista,586,Undetermined,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T09:30:00Z,1,33.16399,-117.2268,}iliEnznjU,w~kiEz|ojUuBSqUgh@xB_SxEz@dLnKd@zEf@~M?rX,,7-0,0230132,ba0fcfeb-eb76-4c3c-acc2-b88563bcc909,2026-08-15T05:16:17Z
271|2026-08-15T02:43:39Z,271,Torrey Pines/ Sorrento Valley/ University City,12,,The cause of the outage is unknown and still under investigation.,,2026-08-15T02:43:39Z,2026-08-15T05:30:00Z,1,32.8741,-117.21035,cvsgEtskjU,,,7-1,0230132,ba0fcfeb-eb76-4c3c-acc2-b88563bcc909,2026-08-15T05:16:17Z
851|2026-08-15T03:57:39Z,851,S Vista,25,,The cause of the outage is unknown and still under investigation.,,2026-08-15T03:57:39Z,2026-08-15T07:30:00Z,1,33.1644,-117.226,olliEnunjU,,,4-0,0230,9be1772a-321c-4bc0-bb7d-889fde9fe7ed,2026-08-15T06:20:50Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T17:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,7b956808-ee64-4e67-96ed-7526650c5f29,2026-08-15T13:23:29Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T17:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,b8dc0959-f437-48b4-9cb7-d5b37e3cd48f,2026-08-15T13:31:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T17:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,1a780b1f-eff1-447a-9ae0-f9bb174cdccc,2026-08-15T13:46:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T17:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,6fd4265b-7ca6-449a-8cea-e6a623633181,2026-08-15T14:01:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,44fd4b06-a894-4752-bb77-b29c1da42076,2026-08-15T14:16:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,2954c2fa-31d8-4319-8392-ef7ddf0e44bf,2026-08-15T14:31:20Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,d95f3302-7f10-4b0a-969d-92dfe8b44f3b,2026-08-15T14:46:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,2d839dc4-8b04-4039-82dd-669cb4c17cc3,2026-08-15T15:01:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,65ff3a40-b5ed-4fa2-aca9-613ea42f538e,2026-08-15T15:16:17Z
920|2026-08-15T06:21Z,920,S Poway,16,Device/Equipment Damaged,Our equipment has been damaged and our crews need to make repairs.,,2026-08-15T06:21Z,2026-08-15T18:00:00Z,1,32.9546,-117.02875,gmchEtdhiU,,,4-0,0230,3f34be62-9387-480b-bcb3-8905ddb7a96e,2026-08-15T15:31:18Z
HK1|2026-08-15T15:35:24Z,HK1,Old Town/ Mission Hills/ Hillcrest,67,Deenergized for Safety,Power has been temporarily turned off at the request of public safety agencies and/or to make urgent repairs.,,2026-08-15T15:35:24Z,2026-08-15T16:30:00Z,1,32.75571,-117.1919,er|fEj`hjU,ol|fErahjUkHnFS_NvGf@f@fE,,4-0,0230,861361d2-3b5f-4e50-bf33-a702739fbe77,2026-08-15T15:46:17Z
HK1|2026-08-15T15:35:24Z,HK1,Old Town/ Mission Hills/ Hillcrest,67,Deenergized for Safety,Power has been temporarily turned off at the request of public safety agencies and/or to make urgent repairs.,,2026-08-15T15:35:24Z,2026-08-15T16:30:00Z,1,32.75571,-117.1919,er|fEj`hjU,ol|fErahjUkHnFS_NvGf@f@fE,,4-0,0230,1eedf75c-4e4f-49df-871d-f558dad2d4d2,2026-08-15T16:01:16Z
HK1|2026-08-15T15:35:24Z,HK1,Old Town/ Mission Hills/ Hillcrest,67,Deenergized for Safety,Power has been temporarily turned off at the request of public safety agencies and/or to make urgent repairs.,,2026-08-15T15:35:24Z,2026-08-15T16:30:00Z,1,32.75571,-117.1919,er|fEj`hjU,ol|fErahjUkHnFS_NvGf@f@fE,,4-0,0230,dfd508f3-9784-4c33-bad7-35599f53992f,2026-08-15T16:16:21Z
